Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,English Learner,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2014,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    69.58%,"           3,856","           2,683",             586,               5,"           1,805",             157,             130,    24.09%
2015,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    94.10%,             441,             415,             307,               0,              94,<,<,     2.04%
2015,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    87.50%,              16,              14,               5,               0,               8,               0,<,    12.50%
2015,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    95.51%,             245,             234,             160,               0,              67,<,<,     2.45%
2015,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2015,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.81%,             251,             243,             168,               0,              68,               0,<,     1.59%
2015,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2015,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    94.53%,             969,             916,             639,               0,             248,<,              23,     2.06%
2015,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    88.89%,              27,              24,               7,               0,              16,               0,<,    11.11%
2015,State,,,,,On-Time Graduation Rate,4 yr rate,N,    91.48%,"          89,520","          81,889","          46,430","           1,057","          31,168","           1,341","           1,895",     4.37%
2015,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    67.75%,"           3,569","           2,418",             455,               2,"           1,679",             142,             140,    26.39%
2016,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.43%,             420,             405,             308,               0,              88,<,<,     1.90%
2016,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    66.67%,              21,              14,               2,               0,              12,               0,               0,    33.33%
2016,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    93.57%,             280,             262,             177,               0,              70,<,              13,     2.50%
2016,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    70.00%,              10,               7,               0,               0,               6,<,               0,    30.00%
2016,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    98.95%,             286,             283,             214,               0,              61,               0,<,      .35%
2016,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    96.04%,"           1,011",             971,             701,               0,             236,<,              31,     1.78%
2016,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    67.74%,              31,              21,               2,               0,              18,<,               0,    32.26%
2016,State,,,,,On-Time Graduation Rate,4 yr rate,N,    92.51%,"          90,910","          84,096","          47,786",             938,"          32,193","           1,177","           2,003",     4.20%
2016,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    67.48%,"           4,167","           2,812",             446,               2,"           2,072",             143,             149,    28.27%
2017,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.27%,             429,             413,             301,               0,             105,               0,<,     1.17%
2017,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    87.50%,              32,              28,               6,               0,              22,               0,               0,     6.25%
2017,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    92.61%,             284,             263,             171,               0,              86,               0,<,     3.87%
2017,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    76.47%,              17,              13,               2,               0,              11,               0,               0,    23.53%
2017,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    97.96%,             245,             240,             176,               0,              57,               0,<,     1.63%
2017,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2017,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    95.31%,             981,             935,             651,               0,             264,               0,              20,     2.24%
2017,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    84.91%,              53,              45,               8,               0,              36,               0,<,    11.32%
2017,State,,,,,On-Time Graduation Rate,4 yr rate,N,    92.53%,"          88,378","          81,779","          47,196","           1,060","          31,093",             102,"           2,328",     4.36%
2017,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    73.92%,"           6,857","           5,069","           1,497",              20,"           3,287",              38,             227,    23.49%
2018,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.52%,             469,             448,             321,               0,             119,               0,<,     3.62%
2018,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    81.13%,              53,              43,              16,               0,              26,               0,<,    18.87%
